"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","batch_size","class_weight","clf__C","clf__activation","clf__alpha","clf__batch_size","clf__class_weight","clf__colsample_bytree","clf__criterion","clf__hidden_layer_sizes","clf__learning_rate","clf__learning_rate_init","clf__max_depth","clf__max_features","clf__max_iter","clf__min_samples_leaf","clf__min_samples_split","clf__n_estimators","clf__penalty","clf__reg_alpha","clf__reg_lambda","clf__solver","clf__subsample","cv","dataset","dropout","epochs","hidden_layers","l2","lr","model","search_n_iter","val_accuracy","val_auc","val_f1","val_precision","val_recall"
"2025-08-13 01:10:59","12.9s","77f6ce8678b54a53b22fc6f74ce0643f","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","80","(128, 64)","1e-05","0.0005","mlp","","0.7164556962025317","0.7673064820641915","0.6744186046511628","0.6590909090909091","0.6904761904761905"
"2025-08-13 01:24:59","14.5s","8b9a5b30f29346df9a676758e69bb7d8","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(128, 64, 32)","1e-05","0.001","mlp","","0.6050632911392405","0.8687591776798825","0.6736401673640168","0.5193548387096775","0.9583333333333334"
"2025-08-13 00:22:17","12.0s","3cd8091a5b5b4866944a9c89e7d96fb2","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(64,)","0.001","0.001","mlp","","0.6050632911392405","0.8672645269561569","0.6722689075630252","0.5194805194805194","0.9523809523809523"
"2025-08-13 00:56:53","11.8s","cda7a6b1c7c04df6b23549ae39d04ff0","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","80","(128,)","0.0001","0.001","mlp","","0.6303797468354431","0.7723410950283197","0.6711711711711711","0.5398550724637681","0.8869047619047619"
"2025-08-13 00:22:41","11.8s","af123e6093804c90b26cf77a402f75a1","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(64,)","0.001","0.001","mlp","","0.6126582278481013","0.8256240822320118","0.6709677419354839","0.5252525252525253","0.9285714285714286"
"2025-08-13 00:42:15","11.7s","5af115c75f2b46c1946037fc14936a38","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(128,)","0.0001","0.001","mlp","","0.589873417721519","0.8296622613803231","0.6707317073170733","0.5092592592592593","0.9821428571428571"
"2025-08-13 01:28:41","13.5s","980298e4145e4ce199280d23e81fd6be","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(128, 64, 32)","0.0001","0.001","mlp","","0.6430379746835443","0.8069016152716594","0.6697892271662763","0.5521235521235521","0.8511904761904762"
"2025-08-13 00:19:08","11.8s","e267939c1bee47a5bb9cab3f93d000cf","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(64,)","1e-05","0.0005","mlp","","0.6126582278481013","0.7122928466540801","0.6695464362850972","0.5254237288135594","0.9226190476190477"
"2025-08-13 01:40:32","14.9s","4dbead11448d42d7bea61765624f3919","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","40","(128, 64, 32)","0.001","0.0005","mlp","","0.6227848101265823","0.8371092930564297","0.6681514476614699","0.5338078291814946","0.8928571428571429"
"2025-08-13 00:45:47","11.6s","1dbbdb9f9f6c42e0a2e1f517aff388b1","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(128,)","0.001","0.0005","mlp","","0.6506329113924051","0.7030102790014683","0.6666666666666667","0.5609756097560976","0.8214285714285714"
"2025-08-13 00:48:09","11.7s","9afd2c1c236145f1bb302cf53d8c3109","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","40","(128,)","1e-05","0.0005","mlp","","0.6531645569620254","0.729992657856094","0.6666666666666666","0.5637860082304527","0.8154761904761905"
"2025-08-13 00:54:42","12.0s","ae11d0dd74bb4ba7a5013739c5e81b0f","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(128,)","1e-05","0.0005","mlp","","0.6126582278481013","0.7751992867631635","0.6652078774617067","0.5259515570934256","0.9047619047619048"
"2025-08-13 01:50:54","14.1s","57e6d551a26a438e9fa6408828b10676","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","80","(128, 64, 32)","0.001","0.0005","mlp","","0.6253164556962025","0.735840151038389","0.6651583710407241","0.5364963503649635","0.875"
"2025-08-13 00:18:44","12.0s","d9ffef0ea1e54394b8fa40cefbeda45b","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(64,)","1e-05","0.0005","mlp","","0.5974683544303797","0.7978026012166981","0.66384778012685","0.5147540983606558","0.9345238095238095"
